METADATA,My commit hash: b6e6d0c9660e0125d48caf04f87d17460364101d,LLVM commit: cb3aa49ec04d4c16863e363bd5d13396d06fffe5,Note the use of the hand-modified post -O2 Enzyme code.,Simple and small directory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,hand1_t26_c100.txt,hand1_t26_c100.txt,hand1_t26_c100.txt,hand2_t26_c192.txt,hand2_t26_c192.txt,hand2_t26_c192.txt,hand3_t26_c200.txt,hand3_t26_c200.txt,hand3_t26_c200.txt,hand4_t26_c400.txt,hand4_t26_c400.txt,hand4_t26_c400.txt,hand5_t26_c800.txt,hand5_t26_c800.txt,hand5_t26_c800.txt,hand6_t26_c1600.txt,hand6_t26_c1600.txt,hand6_t26_c1600.txt,hand7_t26_c3200.txt,hand7_t26_c3200.txt,hand7_t26_c3200.txt,hand8_t26_c6400.txt,hand8_t26_c6400.txt,hand8_t26_c6400.txt,hand9_t26_c12800.txt,hand9_t26_c12800.txt,hand9_t26_c12800.txt,hand10_t26_c25600.txt,hand10_t26_c25600.txt,hand10_t26_c25600.txt,hand11_t26_c51200.txt,hand11_t26_c51200.txt,hand11_t26_c51200.txt,hand12_t26_c100000.txt,hand12_t26_c100000.txt,hand12_t26_c100000.txt
,LAGrad,Enzyme/MLIR,Enzyme/C,LAGrad,Enzyme/MLIR,Enzyme/C,LAGrad,Enzyme/MLIR,Enzyme/C,LAGrad,Enzyme/MLIR,Enzyme/C,LAGrad,Enzyme/MLIR,Enzyme/C,LAGrad,Enzyme/MLIR,Enzyme/C,LAGrad,Enzyme/MLIR,Enzyme/C,LAGrad,Enzyme/MLIR,Enzyme/C,LAGrad,Enzyme/MLIR,Enzyme/C,LAGrad,Enzyme/MLIR,Enzyme/C,LAGrad,Enzyme/MLIR,Enzyme/C,LAGrad,Enzyme/MLIR,Enzyme/C
run1,108365,144275,2062957,208946,276509,3999429,213066,299744,4118871,441907,577710,8286952,867325,1162509,16902569,1766202,2398764,35085054,3612772,4939673,73072396,7553711,10635708,151264179,16285769,24326502,303206890,37802566,62154920,619226025,94769048,177646039,,266449540,591386246,
run2,107773,142778,2082801,211729,276419,4028457,211963,288030,4186180,424803,579161,8573023,855411,1151109,17599015,1760443,2380610,37827695,3613962,4954875,77361299,7556061,10673527,147057831,16554976,24532772,297172927,37612480,62307191,647289800,95202614,177935936,,270292103,575266370,
run3,107128,143282,2078484,211986,275752,4031623,211924,289750,4198379,428042,575426,8788299,870516,1161642,18509495,1776308,2382301,38949020,3594945,4968587,73813498,7486402,10649698,146503458,16364548,24250242,313237244,37834878,62278921,703163931,94773680,177634374,,275048382,573065068,
run4,106747,142014,2140845,211094,281766,4044334,218727,288318,4173532,428419,586554,8412811,852959,1170933,18860394,1786947,2404112,38279419,3603020,4942558,73515856,7578156,10650530,150851615,16465175,24604525,318449896,37802593,62547573,701152882,97627932,177690628,,274345019,572992525,
run5,107061,141774,2106993,213283,275442,4108746,211540,285941,4275294,428010,577180,8571964,875748,1158215,19101090,1785730,2388650,39427549,3586612,4956508,74249215,7536580,10615213,152829951,16368447,24220654,330845460,38073309,62548406,703085738,97924591,177783007,,272783673,572725720,
run6,107111,141535,2122447,208712,274773,4172728,211501,286634,4283799,441332,577940,8722378,891116,1167426,19283145,1795245,2464244,37096960,3645910,5001096,72549840,7613677,10658300,151861798,16455991,24288774,340141331,37593757,62023493,712625204,97886007,176716054,,272026412,574065256,
