			rss	vsize
gmm_d64_K5.txt	Enzyme/MLIR	Packed	58257408	4447002624
gmm_d64_K5.txt	Enzyme/C	Full	1671057408	6060814336
gmm_d64_K5.txt	Enzyme/C	Tri	1776398336	6166724608
gmm_d64_K5.txt	Enzyme/C	Packed	58368000	4456529920
gmm_d20_K50.txt	LAGrad	Full	3051520	4401094656
gmm_d20_K50.txt	LAGrad	Tri	3088384	4391665664
gmm_d20_K50.txt	LAGrad	Packed	3158016	4410535936
gmm_d20_K50.txt	Enzyme/MLIR	Full	0	0
gmm_d20_K50.txt	Enzyme/MLIR	Tri	1062486016	5461397504
gmm_d20_K50.txt	Enzyme/MLIR	Packed	167206912	4565274624
gmm_d20_K50.txt	Enzyme/C	Full	1687285760	6085271552
gmm_d20_K50.txt	Enzyme/C	Tri	1958330368	6353989632
gmm_d20_K50.txt	Enzyme/C	Packed	167272448	4555923456
gmm_d10_K200.txt	LAGrad	Full	2428928	4397121536
gmm_d10_K200.txt	LAGrad	Tri	2519040	4397129728
gmm_d10_K200.txt	LAGrad	Packed	2473984	4397121536
gmm_d10_K200.txt	Enzyme/MLIR	Full	0	0
gmm_d10_K200.txt	Enzyme/MLIR	Tri	1312964608	5711486976
gmm_d10_K200.txt	Enzyme/MLIR	Packed	338542592	4735389696
gmm_d10_K200.txt	Enzyme/C	Full	1778745344	6176448512
gmm_d10_K200.txt	Enzyme/C	Tri	2287161344	6684114944
gmm_d10_K200.txt	Enzyme/C	Packed	338747392	4736532480
gmm_d32_K25.txt	LAGrad	Full	4096000	4402151424
gmm_d32_K25.txt	LAGrad	Tri	4231168	4402155520
gmm_d32_K25.txt	LAGrad	Packed	4030464	4383289344
gmm_d32_K25.txt	Enzyme/MLIR	Full	0	0
gmm_d32_K25.txt	Enzyme/MLIR	Tri	1241083904	5631574016
gmm_d32_K25.txt	Enzyme/MLIR	Packed	134242304	4522893312
gmm_d32_K25.txt	Enzyme/C	Full	2118324224	6516322304
gmm_d32_K25.txt	Enzyme/C	Tri	2347274240	6734938112
gmm_d32_K25.txt	Enzyme/C	Packed	134352896	4523003904
gmm_d64_K10.txt	LAGrad	Full	6971392	4405092352
gmm_d64_K10.txt	LAGrad	Tri	7344128	4395659264
gmm_d64_K10.txt	LAGrad	Packed	7016448	4405149696
gmm_d64_K10.txt	Enzyme/MLIR	Full	0	0
gmm_d64_K10.txt	Enzyme/MLIR	Tri	1830809600	6226477056
gmm_d64_K10.txt	Enzyme/MLIR	Packed	110305280	4499079168
gmm_d64_K10.txt	Enzyme/C	Full	3335942144	7734063104
gmm_d64_K10.txt	Enzyme/C	Tri	3545812992	7934332928
gmm_d64_K10.txt	Enzyme/C	Packed	110497792	4508688384
gmm_d20_K100.txt	LAGrad	Full	3604480	4400435200
gmm_d20_K100.txt	LAGrad	Tri	3547136	4392054784
gmm_d20_K100.txt	LAGrad	Packed	3497984	4382605312
gmm_d20_K100.txt	Enzyme/MLIR	Full	0	0
gmm_d20_K100.txt	Enzyme/MLIR	Tri	2119737344	6517624832
gmm_d20_K100.txt	Enzyme/MLIR	Packed	331710464	4720214016
gmm_d20_K100.txt	Enzyme/C	Full	3371888640	7769661440
gmm_d20_K100.txt	Enzyme/C	Tri	3906752512	8295022592
gmm_d20_K100.txt	Enzyme/C	Packed	331890688	4720390144
gmm_d32_K50.txt	LAGrad	Full	4751360	4402692096
gmm_d32_K50.txt	LAGrad	Tri	4710400	4393259008
gmm_d32_K50.txt	LAGrad	Packed	4632576	4383817728
gmm_d32_K50.txt	Enzyme/MLIR	Full	0	0
gmm_d32_K50.txt	Enzyme/MLIR	Tri	2477735936	6859231232
gmm_d32_K50.txt	Enzyme/MLIR	Packed	264925184	4663910400
gmm_d32_K50.txt	Enzyme/C	Full	4232900608	8630865920
gmm_d32_K50.txt	Enzyme/C	Tri	4685418496	9082769408
gmm_d32_K50.txt	Enzyme/C	Packed	265064448	4663078912
gmm_d128_K5.txt	LAGrad	Full	12902400	4410978304
gmm_d128_K5.txt	LAGrad	Tri	13299712	4411375616
gmm_d128_K5.txt	LAGrad	Packed	12886016	4401537024
gmm_d128_K5.txt	Enzyme/MLIR	Full	0	0
gmm_d128_K5.txt	Enzyme/MLIR	Tri	3546238976	7912243200
gmm_d128_K5.txt	Enzyme/MLIR	Packed	115822592	4504506368
gmm_d128_K5.txt	Enzyme/C	Full	6618271744	11016351744
gmm_d128_K5.txt	Enzyme/C	Tri	6891700224	11291598848
gmm_d128_K5.txt	Enzyme/C	Packed	116224000	4514279424
gmm_d20_K200.txt	LAGrad	Full	4710400	4399153152
gmm_d20_K200.txt	LAGrad	Tri	4734976	4390772736
gmm_d20_K200.txt	LAGrad	Packed	4907008	4399136768
gmm_d20_K200.txt	Enzyme/MLIR	Full	0	0
gmm_d20_K200.txt	Enzyme/MLIR	Tri	4237201408	8632774656
gmm_d20_K200.txt	Enzyme/MLIR	Packed	660783104	5065789440
gmm_d20_K200.txt	Enzyme/C	Full	6740889600	11137421312
gmm_d20_K200.txt	Enzyme/C	Tri	7807238144	12201750528
