METADATA,My commit hash: 75b5f2ab7a039d29e757046dc0a98926a47987db,,,,,,,,,,,,,,,,,,,,
,16,16,16,32,32,32,64,64,64,128,128,128,256,256,256,512,512,512,1024,1024,1024
,LAGrad,Enzyme/MLIR,Enzyme/C,LAGrad,Enzyme/MLIR,Enzyme/C,LAGrad,Enzyme/MLIR,Enzyme/C,LAGrad,Enzyme/MLIR,Enzyme/C,LAGrad,Enzyme/MLIR,Enzyme/C,LAGrad,Enzyme/MLIR,Enzyme/C,LAGrad,Enzyme/MLIR,Enzyme/C
run1,10,34,7,51,234,47,304,1345,348,2345,9663,3464,30466,93101,69730,216627,765789,765565,7634697,13668616,13420494
run2,1,4,5,33,52,46,264,453,323,2013,3828,3444,25934,64150,68902,214294,756814,766287,7557105,13416745,13509388
run3,3,4,5,33,51,46,275,451,321,1788,3749,3531,25772,65180,66882,216300,762923,785069,7601059,13335940,13457813
run4,1,3,6,33,50,47,264,422,322,1762,3722,3447,25857,61894,61673,223885,771272,782928,7584003,13365364,13549369
run5,3,3,5,32,51,46,263,408,320,1703,3859,3444,25825,68885,63075,212383,752497,819525,7578921,13326570,13486201
run6,1,3,5,33,51,46,256,410,319,1689,3731,3478,25920,69528,64438,217881,771830,799778,7555382,13372521,13476733
