METADATA,"Compressed representation, from the 10k dataset",,,,,,,,,,,,,,,,,,,,,,,
,gmm_d10_K5.txt,gmm_d10_K5.txt,gmm_d10_K10.txt,gmm_d10_K10.txt,gmm_d10_K25.txt,gmm_d10_K25.txt,gmm_d10_K50.txt,gmm_d10_K50.txt,gmm_d10_K100.txt,gmm_d10_K100.txt,gmm_d10_K200.txt,gmm_d10_K200.txt,gmm_d128_K5.txt,gmm_d128_K5.txt,gmm_d128_K10.txt,gmm_d128_K10.txt,gmm_d128_K25.txt,gmm_d128_K25.txt,gmm_d128_K50.txt,gmm_d128_K50.txt,gmm_d128_K100.txt,gmm_d128_K100.txt,gmm_d128_K200.txt,gmm_d128_K200.txt
,Handwritten,Enzyme/MLIR,Handwritten,Enzyme/MLIR,Handwritten,Enzyme/MLIR,Handwritten,Enzyme/MLIR,Handwritten,Enzyme/MLIR,Handwritten,Enzyme/MLIR,Handwritten,Enzyme/MLIR,Handwritten,Enzyme/MLIR,Handwritten,Enzyme/MLIR,Handwritten,Enzyme/MLIR,Handwritten,Enzyme/MLIR,Handwritten,Enzyme/MLIR
run1,5799,6612,11645,13111,28399,37450,57050,73571,118045,159640,242553,404023,1582359,716506,3317419,1515899,7547949,3772727,14285364,7228755,25314065,14591137,48187808,30936352
run2,5678,6478,11603,13534,27948,36844,57376,74637,111082,159166,225950,412236,1578179,715987,3216423,1565586,7493084,3667515,14214213,7327929,25433475,14431700,48276367,30575390
run3,5678,6496,11602,13722,28168,36567,60661,73260,111935,149538,229111,408443,1575214,757797,3128100,1533897,7517569,3647356,14263457,7143787,25388563,14483050,47937827,30469880
run4,5661,6688,11603,13595,28200,36817,59176,74374,115573,149723,225714,420959,1573464,725234,3132170,1668307,7500575,3650557,14307437,7276418,25575744,14474283,48054026,30566606
run5,5657,6589,11610,13351,28133,36922,56982,74405,117382,156336,225024,403788,1589471,726102,3117767,2092893,7480687,3732534,14226746,7129207,25343879,14706822,48400756,30698218
run6,5703,6584,11603,13281,28238,37060,57563,73740,119835,157625,229040,406515,1576769,722775,3140175,1551852,7592204,3654678,14538486,7108259,25425049,14700146,48762485,30576585
