		run1	run2	run3	run4	run5	run6
gmm_d64_K100.txt	Enzyme/C	6501127	6484648	6451654	6478439	6437650	6429712
gmm_d128_K50.txt	LAGrad	6626032	6616357	6643556	6618689	6609136	6628590
gmm_d128_K50.txt	Enzyme/MLIR	7252195	7284988	7223961	7157108	7158870	7280781
gmm_d128_K50.txt	Enzyme/C	7173340	7254594	7261351	7277168	7187609	7307515
gmm_d64_K200.txt	LAGrad	14119406	13887762	13929880	13829343	13793725	13899778
gmm_d64_K200.txt	Enzyme/MLIR	13971515	13876572	13866587	13940022	14072391	13952251
gmm_d64_K200.txt	Enzyme/C	13839383	13830371	13892823	13804994	13834030	13946650
gmm_d128_K100.txt	LAGrad	13991962	13893055	13760174	13808970	13881291	13964910
gmm_d128_K100.txt	Enzyme/MLIR	14814893	14902369	14898918	14898452	14930531	15011844
gmm_d128_K100.txt	Enzyme/C	15074394	15020256	14972742	15021368	14968423	14584567
gmm_d128_K200.txt	LAGrad	28647131	28680669	28464665	28459297	28926826	28615093
gmm_d128_K200.txt	Enzyme/MLIR	31113509	30894303	31140278	31061394	31174739	31022450
gmm_d128_K200.txt	Enzyme/C	31624005	31599521	31372066	31580842	31407259	31432446
