METADATA,My commit hash: b6e6d0c9660e0125d48caf04f87d17460364101d,LLVM commit: cb3aa49ec04d4c16863e363bd5d13396d06fffe5,Full computation and full materialization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,gmm_d2_K5.txt,gmm_d2_K5.txt,gmm_d2_K5.txt,gmm_d2_K10.txt,gmm_d2_K10.txt,gmm_d2_K10.txt,gmm_d2_K25.txt,gmm_d2_K25.txt,gmm_d2_K25.txt,gmm_d2_K50.txt,gmm_d2_K50.txt,gmm_d2_K50.txt,gmm_d2_K100.txt,gmm_d2_K100.txt,gmm_d2_K100.txt,gmm_d2_K200.txt,gmm_d2_K200.txt,gmm_d2_K200.txt,gmm_d10_K5.txt,gmm_d10_K5.txt,gmm_d10_K5.txt,gmm_d10_K10.txt,gmm_d10_K10.txt,gmm_d10_K10.txt,gmm_d10_K25.txt,gmm_d10_K25.txt,gmm_d10_K25.txt,gmm_d10_K50.txt,gmm_d10_K50.txt,gmm_d10_K50.txt,gmm_d10_K100.txt,gmm_d10_K100.txt,gmm_d10_K100.txt,gmm_d10_K200.txt,gmm_d10_K200.txt,gmm_d10_K200.txt,gmm_d20_K5.txt,gmm_d20_K5.txt,gmm_d20_K5.txt,gmm_d20_K10.txt,gmm_d20_K10.txt,gmm_d20_K10.txt,gmm_d20_K25.txt,gmm_d20_K25.txt,gmm_d20_K25.txt,gmm_d20_K50.txt,gmm_d20_K50.txt,gmm_d20_K50.txt,gmm_d20_K100.txt,gmm_d20_K100.txt,gmm_d20_K100.txt,gmm_d20_K200.txt,gmm_d20_K200.txt,gmm_d20_K200.txt,gmm_d32_K5.txt,gmm_d32_K5.txt,gmm_d32_K5.txt,gmm_d32_K10.txt,gmm_d32_K10.txt,gmm_d32_K10.txt,gmm_d32_K25.txt,gmm_d32_K25.txt,gmm_d32_K25.txt,gmm_d32_K50.txt,gmm_d32_K50.txt,gmm_d32_K50.txt,gmm_d32_K100.txt,gmm_d32_K100.txt,gmm_d32_K100.txt,gmm_d32_K200.txt,gmm_d32_K200.txt,gmm_d32_K200.txt,gmm_d64_K5.txt,gmm_d64_K5.txt,gmm_d64_K5.txt,gmm_d64_K10.txt,gmm_d64_K10.txt,gmm_d64_K10.txt,gmm_d64_K25.txt,gmm_d64_K25.txt,gmm_d64_K25.txt,gmm_d64_K50.txt,gmm_d64_K50.txt,gmm_d64_K50.txt,gmm_d64_K100.txt,gmm_d64_K100.txt,gmm_d64_K100.txt,gmm_d64_K200.txt,gmm_d64_K200.txt,gmm_d64_K200.txt,gmm_d128_K5.txt,gmm_d128_K5.txt,gmm_d128_K5.txt,gmm_d128_K10.txt,gmm_d128_K10.txt,gmm_d128_K10.txt,gmm_d128_K25.txt,gmm_d128_K25.txt,gmm_d128_K25.txt,gmm_d128_K50.txt,gmm_d128_K50.txt,gmm_d128_K50.txt,gmm_d128_K100.txt,gmm_d128_K100.txt,gmm_d128_K100.txt,gmm_d128_K200.txt,gmm_d128_K200.txt,gmm_d128_K200.txt
,LAGrad,Enzyme/MLIR,Enzyme/C,LAGrad,Enzyme/MLIR,Enzyme/C,LAGrad,Enzyme/MLIR,Enzyme/C,LAGrad,Enzyme/MLIR,Enzyme/C,LAGrad,Enzyme/MLIR,Enzyme/C,LAGrad,Enzyme/MLIR,Enzyme/C,LAGrad,Enzyme/MLIR,Enzyme/C,LAGrad,Enzyme/MLIR,Enzyme/C,LAGrad,Enzyme/MLIR,Enzyme/C,LAGrad,Enzyme/MLIR,Enzyme/C,LAGrad,Enzyme/MLIR,Enzyme/C,LAGrad,Enzyme/MLIR,Enzyme/C,LAGrad,Enzyme/MLIR,Enzyme/C,LAGrad,Enzyme/MLIR,Enzyme/C,LAGrad,Enzyme/MLIR,Enzyme/C,LAGrad,Enzyme/MLIR,Enzyme/C,LAGrad,Enzyme/MLIR,Enzyme/C,LAGrad,Enzyme/MLIR,Enzyme/C,LAGrad,Enzyme/MLIR,Enzyme/C,LAGrad,Enzyme/MLIR,Enzyme/C,LAGrad,Enzyme/MLIR,Enzyme/C,LAGrad,Enzyme/MLIR,Enzyme/C,LAGrad,Enzyme/MLIR,Enzyme/C,LAGrad,Enzyme/MLIR,Enzyme/C,LAGrad,Enzyme/MLIR,Enzyme/C,LAGrad,Enzyme/MLIR,Enzyme/C,LAGrad,Enzyme/MLIR,Enzyme/C,LAGrad,Enzyme/MLIR,Enzyme/C,LAGrad,Enzyme/MLIR,Enzyme/C,LAGrad,Enzyme/MLIR,Enzyme/C,LAGrad,Enzyme/MLIR,Enzyme/C,LAGrad,Enzyme/MLIR,Enzyme/C,LAGrad,Enzyme/MLIR,Enzyme/C,LAGrad,Enzyme/MLIR,Enzyme/C,LAGrad,Enzyme/MLIR,Enzyme/C,LAGrad,Enzyme/MLIR,Enzyme/C
run1,3539,1847,5217,5957,3459,10146,13726,8932,27204,27102,17624,49451,50013,37885,103860,93061,74309,205729,14055,28737,58519,28467,60627,111603,76933,150122,272760,150760,302308,543610,294161,617806,1083437,634400,1289705,2221610,51995,103588,199138,104932,201456,402154,263022,530714,1001249,505069,1145409,2049282,1051135,2217910,4067057,2124415,4620421,23995544,156555,292609,489223,337361,587746,979214,798069,1472020,2524140,1720541,2982771,5111974,3435405,5928292,65364891,6819930,88551633,138017012,1095313,1322841,2177760,2378660,2573217,4305911,6208369,6634218,59214016,12979698,82821046,140843972,26171091,,,50471244,,,3821007,4985777,14400566,7607970,32781344,122587517,19829933,,,38030779,,,73011157,,,144677043,,
run2,2692,1178,3763,4535,2197,7311,9647,5844,18079,22882,11704,39418,45490,26240,78075,91425,54388,158119,13614,13573,29793,27928,30549,60809,71838,136365,258336,149603,278768,495485,293076,566482,1051829,611450,1292379,2186627,50409,98517,200235,101471,190651,372425,253620,503075,980571,504365,1082711,1985160,996221,2206818,4095144,2024688,4535579,8285718,152281,275800,475669,356549,550576,984894,751660,1383851,2458502,1645332,2824106,5026212,3345609,5934291,49661436,6871333,89060160,141432116,1101673,1318713,2155973,2393041,2570199,4276120,6173693,6676342,60150241,12016184,82702306,143046471,25282123,,,50432661,,,3883950,4975296,13619744,7625229,10421900,120099491,19914712,,,38026440,,,73562126,,,144646330,,
run3,2409,1178,3732,3757,2142,7240,9584,5779,17943,23563,11702,37216,45839,26182,76677,91708,53712,156273,13557,13160,29992,27926,27893,61058,73010,138915,278228,153443,283447,500946,292549,573410,1024788,620589,1306267,2202732,49624,97273,183576,101200,191248,384943,256715,504392,1002057,505098,1082190,1971079,1026036,2239250,4062351,2061481,4567474,8275097,154783,269671,468324,343214,549325,1002999,862686,1399311,2466880,1645054,2879488,5054611,3370479,5972276,50649202,6872694,91516746,146166829,1109682,1306378,2078629,2385753,2588273,4311299,6167529,6883384,48908514,11838945,87634267,145939896,25376314,,,50172448,,,3841707,4920615,13727647,7667082,10118541,116359038,21058502,,,37976345,,,72898911,,,144826132,,
run4,2215,1241,4390,3226,2172,7270,9731,5803,18014,23068,11704,37369,46011,26295,77909,91441,54202,156791,13616,12744,26024,27697,27365,59696,72048,136333,260585,151555,276685,497583,292542,567463,1056075,613834,1288934,2151953,50422,94170,191571,101429,199062,380636,258246,510939,981132,504571,1091270,1959925,994726,2233245,4077687,2032318,4503036,8209835,149361,267443,470318,347419,572083,961273,787793,1398995,2463592,1648209,2855120,4999630,3365743,6067197,47986948,6888874,83903463,155394372,1092674,1263515,2116675,2365866,2623207,4294667,6226274,6661762,49597441,11787746,80518643,143664752,25748497,,,50478928,,,3804123,5007231,13665028,7636247,10267820,122682511,20490493,,,38132151,,,72830137,,,144993859,,
run5,2011,1201,3731,3213,2619,7238,9978,5804,18095,22517,12106,37383,45885,26721,76388,92198,53815,156336,13581,12757,25919,27806,27472,63647,73058,140218,256716,151000,275695,503930,292434,569580,1025720,612426,1290635,2195952,49407,93229,193182,101253,196310,380702,245723,504332,975056,506465,1081271,1975657,1009166,2222414,4069116,2034564,4564545,8293785,151374,279228,474761,322722,546615,962398,787909,1400559,2484176,1599235,2875854,5037824,3353103,5957922,47004051,6902533,84044378,147304659,1105177,1251158,2094155,2400540,2620935,4387206,6184206,6772998,55202344,11751879,81682289,145609147,25260919,,,50749240,,,3851605,4924233,13587394,7624043,10193693,115690923,19816310,,,37989359,,,73277258,,,144985541,,
run6,1821,1179,3812,3264,2534,7251,9652,5675,18217,22914,11992,37276,45640,26766,77382,90115,52108,154738,13577,13158,24702,27822,27980,64204,71925,137097,255638,149565,282335,504769,292336,572906,1016858,609874,1308778,2143629,50600,92979,187517,100961,190573,379517,249462,506451,991628,505327,1081624,2066504,1001059,2201809,4064120,2032719,4498629,8321065,152764,276377,474746,345123,541825,962236,779863,1397160,2466303,1681264,2835513,5003930,3361802,5912639,48696107,6822562,86212755,145257502,1128595,1247522,2089692,2373397,2594961,4319403,6156374,6812284,54973413,11851302,89831294,149356678,25225007,,,51358516,,,3807742,4945292,13642317,7688882,10272681,120781318,20089565,,,38175904,,,72624311,,,145157819,,
